m	n	lambda	sq_lambda	C
0	1	3.0114612170483257	9.068898661786182	-0.08380984999418122
0	2	6.205398340493136	38.50696856419496	0.003119140729870012
0	3	9.370844486636674	87.81272639272895	-0.00012769548659518552
0	4	12.525181124155868	156.88016219291043	5.368362588898436e-06
0	5	15.674661491611058	245.6950128765946	-2.281499629760059e-07
0	6	18.82161079795036	354.2530330295216	9.749511540536862e-09
0	7	21.967077261481027	482.5524834118768	-4.179441685660179e-10
0	8	25.11160120704383	630.5925151816051	1.795215990010249e-11
0	9	28.25548909120604	798.3726637832635	-7.721346217894124e-13
0	10	31.39892758208935	985.8926533052913	3.324109112740339e-14
0	11	34.542036845703336	1193.1523094499269	-1.4320347979598139e-15
0	12	37.684897726517995	1420.1515166581212	6.172405300768235e-17
0	13	40.827566609715376	1666.8901952707458	-2.6615022781459825e-18
0	14	43.970084018382295	1933.368288583598	1.1479798385331758e-19
0	15	47.11247982361246	2219.585755130291	-4.9527892371049326e-21
0	16	50.254776528043465	2525.542563883588	2.1372406837786858e-22
0	17	53.39699140554277	2851.2386911636086	-9.224218241839312e-24
0	18	56.53913793633348	3196.674118583744	3.9816788377318205e-25
0	19	59.68122679410347	3561.8488316492144	-1.7189129924484113e-26
0	20	62.82326654018604	3946.762818779259	7.4213848791613785e-28
0	21	65.9652641214244	4351.416070609281	-3.204448065715251e-29
0	22	69.10722523358191	4775.808579485021	1.3837374241186481e-30
0	23	72.24915459082526	5219.9403390889665	-5.97560833969853e-32
0	24	75.39105612843453	5683.811344160766	2.580685406035327e-33
0	25	78.53293315727365	6167.421590284811	-1.114575727187891e-34
0	26	81.67478848290638	6670.7710737274965	4.8139678947715516e-36
0	27	84.81662449844319	7193.859791309914	-2.079283836931534e-37
0	28	87.9584432576484	7736.687740308953	8.981306799766303e-39
0	29	91.10024653302683	8299.254918378268	-3.8795279849005824e-40
0	30	94.24203586237539	8881.561323485248	1.6758320519216513e-41
0	31	97.38381258638603	9483.606953860357	-7.239243101982523e-43
1	1	4.529137545457909	20.513086905676488	-0.01900715811674783
1	2	7.736864212919661	59.85906784915697	0.0007049926368300231
1	3	10.909100408233405	119.00847171691824	-2.844732707510232e-05
1	4	14.068580950870512	197.92496997119665	1.1822909413317645e-06
1	5	17.221917545248704	296.59444393534517	-4.982039473386403e-08
1	6	20.371815886817213	415.0108825263782	2.115338563883913e-09
1	7	23.519594462975416	553.1713237028239	-9.023015245074262e-11
1	8	26.66597349464839	711.0741424172905	3.860372419057479e-12
1	9	29.811379930764875	888.7183733764108	-1.655032778310276e-13
1	10	32.95608300758676	1086.103407202949	7.106086661568825e-15
1	11	36.10026094460032	1303.2288402682352	-3.054460532855124e-16
1	12	39.24403642108696	1540.0943946195998	1.3140287533723605e-17
1	13	42.387496654060236	1796.6998725979677	-5.656673308730588e-19
1	14	45.530705351394246	2073.0451297954805	2.4363782207875895e-20
1	15	48.673710134454154	2369.130058252865	-1.0498134894043077e-21
1	16	51.81654731493833	2684.954575641243	4.5251223157626617e-23
1	17	54.95924506469911	3020.5186180816536	-1.9510735037265298e-24
1	18	58.10182557588385	3375.8221352504306	8.4143769013584e-26
1	19	61.24430656774873	3750.8650869643902	-3.629604399030279e-27
1	20	64.38670235964054	4145.64744074894	1.5659313026454642e-28
1	21	67.52902464921267	4560.169170073973	-6.756964953174592e-30
1	22	70.67128308622425	4994.430253053246	2.9159998664393263e-31
1	23	73.81348570194041	5448.430671470561	-1.25855731212116e-32
1	24	76.95563923483192	5922.170410041602	5.432529821990977e-34
1	25	80.0977493806585	6415.649455846779	-2.3451453599057507e-35
1	26	83.23982098665806	6928.86779789088	1.0124453895817058e-36
1	27	86.38185820389397	7461.825426757644	-4.3712327592218547e-38
1	28	89.52386460791402	8014.52233433612	1.8873982718488097e-39
1	29	92.66584329515415	8586.958513602065	-8.149814227254285e-41
1	30	95.80779696059093	9179.133958441818	3.5192814555596495e-42
1	31	98.9497279607647	9791.04866350934	-1.5197786240234194e-43
2	0	2.2939130236989866	5.262036960295828	0.22190516170872043
2	1	5.93654113120486	35.24252060248708	-0.005565361960974518
2	2	9.185643037123839	84.37603800546167	0.0001898219689121042
2	3	12.382603417314458	153.3288673904877	-7.258223058351959e-06
2	4	15.558493097319355	242.066707459334	2.910576629582635e-07
2	5	18.723514388708434	350.56999106417175	-1.195877912592051e-08
2	6	21.88215396014702	478.8286619355778	4.983301388525933e-10
2	7	25.03671651673259	626.8371739392304	-2.095151714707681e-11
2	8	28.188512618372943	794.5922436361707	8.861640965737512e-13
2	9	31.33834407635453	982.0918094479852	-3.7639630829655075e-14
2	10	34.48672952790552	1189.3345135309103	1.6036763080181378e-15
2	11	37.63401952680765	1416.3194257441394	-6.848537989663156e-17
2	12	40.780459631868005	1663.045887786416	2.9299410012514648e-18
2	13	43.926227026137454	1929.5134207517685	-1.255262970937094e-19
2	14	47.07145279214868	2215.721667963482	5.3839856868427355e-21
2	15	50.216236003306996	2521.6703583398257	-2.311399225016778e-22
2	16	53.36065293998752	2847.3592821817983	9.930652075747081e-24
2	17	56.504763292447045	3192.788274735471	-4.269309021195565e-25
2	18	59.648614441292494	3557.9572047659676	1.8364162718849815e-26
2	19	62.79224447690532	3942.865966447446	-7.902848702419432e-28
2	20	65.93568437119886	4347.514473498358	3.402256327592421e-29
2	21	69.07895956707416	4771.902654869467	-1.4652041234692183e-30
2	22	72.2220911600086	5216.0304515245925	6.311867403073011e-32
2	23	75.3650967889308	5679.897814004908	-2.719758154167031e-33
2	24	78.50799131656967	6163.504700562579	1.1722007081023578e-34
2	25	81.65078735514103	6666.851075714459	-5.053142856095197e-36
2	26	84.79349567690639	7189.936909109542	2.178709783206419e-37
2	27	87.93612553799123	7732.762174633353	-9.395222770410593e-39
2	28	91.07868493612544	8295.326849694004	4.052075161723848e-40
2	29	94.22118081751736	8877.630914647301	-1.747850914270038e-41
2	30	97.36361924420933	9479.674352331369	7.5401907526049e-43
3	0	3.4991276424209237	12.243894257954212	0.09635689894513047
3	1	7.274683338640063	52.921017677487335	-0.0018637187493321767
3	2	10.578455317809626	111.90371691089474	5.7156512470854726e-05
3	3	13.808494235414031	190.67451304946252	-2.039566326569132e-06
3	4	17.006916791928774	289.2352187675889	7.797515288280193e-08
3	5	20.188348188089563	407.56940256353914	-3.0942644534817085e-09
3	6	23.359493305225953	545.6659274768962	1.2557669017207984e-10
3	7	26.523909912252353	703.5177970332786	-5.171256674778323e-12
3	8	29.683674281782412	881.1205188669506	2.1509728994665557e-13
3	9	32.840083838860785	1078.4711065434053	-9.011422301948492e-15
3	10	35.99399264635542	1295.5675066258882	3.7954649652640805e-16
3	11	39.14598656415912	1532.408264081326	-1.6050916483164214e-17
3	12	42.296481183017775	1788.9923204653767	6.809413041533044e-19
3	13	45.445779650342274	2065.318888027464	-2.896093839283812e-20
3	14	48.5941083739897	2361.387368663056	1.2342383013093373e-21
3	15	51.74163990664461	2677.197300228878	-5.2687747976486693e-23
3	16	54.88850808743723	3012.7483200646625	2.2522748920835606e-24
3	17	58.03481833894307	3368.0401396341226	-9.639125512450118e-26
3	18	61.18065483903121	3743.0725265326732	4.129347012143617e-27
3	19	64.32608562228455	4137.845291485483	-1.7704781468796141e-28
3	20	67.471166277121	4552.35827879491	7.596518700188738e-30
3	21	70.61594267031218	4986.611359216817	-3.2614583902641822e-31
3	22	73.76045298515243	5440.604424574882	1.4010306838069585e-32
3	23	76.9047292670505	5914.337383638333	-6.0213382379837195e-34
3	24	80.04879861016332	6407.810158930484	2.5889489747014327e-35
3	25	83.19268407878131	6921.022684231913	-1.1135718396181546e-36
3	26	86.33640543020468	7453.974902608676	4.791367346001985e-38
3	27	89.47997968730043	8006.666764839697	-2.0622051166428234e-39
3	28	92.6234215960225	8579.098228154526	8.878143506517995e-41
3	29	95.76674399398821	9171.269255210078	-3.8231280611324745e-42
3	30	98.90995810966929	9783.179813256535	1.6466899876461934e-43
4	0	4.639743227306953	21.52721721534074	0.04582458437743138
4	1	8.566114413137715	73.3783161389657	-0.0006789045397435593
4	2	11.930160985043079	142.32874112904406	1.861713995457944e-05
4	3	15.197488495112244	230.96365655906902	-6.163234456207872e-07
4	4	18.421958666484674	339.36856110966977	2.2330255299474425e-08
4	5	21.622768515523823	467.5441182759283	-8.511307341865283e-10
4	6	24.8089419463804	615.483600498873	3.3477375677221033e-11
4	7	27.98537253519563	783.1810759336819	-1.3445414073939807e-12
4	8	31.154969281387288	970.6321109241856	5.4794140911873084e-14
4	9	34.31957862422478	1177.8334769443466	-2.2568406498993063e-15
4	10	37.4804323734926	1404.782810903952	9.369653962291436e-17
4	11	40.63838528955486	1651.478358942309	-3.9138677919991075e-18
4	12	43.79404980519421	1917.9187983398313	1.642783657980229e-19
